세부업무(도메인),단위프로세스명(기능),기능설명,SW기능,FP유형,RET/FTR,DET,복잡도,FP점수,변경내용
budget,정보화사업(마스터+품목+관계),Bprojm+Bitemm+Bproja 및 변경로그,내부논리파일,ILF,6,83,H,15,BPROJM에 담당자명·팀장명 스냅샷 컬럼 추가로 DET 81→83
budget,정보기술부문계획(마스터+관계),Bplanm+Bplana 및 변경로그,내부논리파일,ILF,3,28,A,10,
budget,전산업무비(마스터+단말),Bcostm+Btermm 및 변경로그,내부논리파일,ILF,4,63,H,15,BCOSTM 담당자명과 BTERMM 서비스부서명·서비스팀명·담당자명 추가로 DET 59→63
budget,예산편성,Bbugtm 편성률 및 편성금액과 변경로그,내부논리파일,ILF,2,16,L,7,
budget,정보화사업 목록 조회,조건별 사업 목록 조회,조회,EQ,2,91,H,6,작성완료·최종본여부·개정순번 등 응답 필드 8개 추가로 DET 83→91
budget,정보화사업 상세 조회,사업 상세 및 품목 목록 조회,조회,EQ,2,102,H,6,작성완료·최종본여부·개정순번 등 응답 필드 8개 추가로 DET 94→102
budget,정보화사업 등록,사업 마스터+품목 신규 생성,등록,EI,2,55,H,6,작성완료(complete) 플래그 추가로 DET 54→55
budget,정보화사업 수정,사업 마스터+품목 변경,수정,EI,2,54,H,6,작성완료(complete) 플래그 추가로 DET 53→54
budget,정보화사업 삭제,사업 논리 삭제,삭제,EI,2,3,L,3,
budget,정보화사업 다건 조회,관리번호 목록 기반 일괄 조회,조회,EQ,2,87,H,6,응답 필드 8개와 개정순번 요청 필드 추가로 DET 78→87
budget,정보기술부문계획 목록 조회,계획 목록 조회,조회,EQ,2,12,A,4,
budget,정보기술부문계획 상세 조회,계획 상세 및 스냅샷 조회,조회,EQ,2,16,A,4,
budget,정보기술부문계획 등록,대상사업 스냅샷 생성 및 계획 저장,등록,EI,3,19,H,6,
budget,정보기술부문계획 텍스트 수정,계획 비고 및 내용 항목 수정,수정,EI,1,8,L,3,
budget,정보기술부문계획 삭제,계획 및 관계 논리 삭제,삭제,EI,2,3,L,3,
budget,전산업무비 목록 조회,조건별 전산업무비 목록 조회,조회,EQ,2,57,H,6,응답 담당자명과 검색조건 1개 추가로 DET 55→57
budget,전산업무비 상세 조회,전산업무비 상세 및 단말 목록 조회,조회,EQ,2,74,H,6,응답 담당자명과 단말 서비스부서·서비스팀 필드 추가로 DET 71→74
budget,전산업무비 등록,전산업무비+단말 신규 생성,등록,EI,2,51,H,6,작성완료 플래그와 담당자명 등 요청 4개·단말 2개 추가로 DET 45→51
budget,전산업무비 수정,전산업무비+단말 변경,수정,EI,2,50,H,6,작성완료 플래그와 담당자명 등 요청 4개·단말 2개 추가로 DET 44→50
budget,전산업무비 삭제,전산업무비 논리 삭제,삭제,EI,2,3,L,3,
budget,전산업무비 다건 조회,관리번호 목록 기반 일괄 조회,조회,EQ,2,53,H,6,응답 담당자명과 개정순번 요청 필드 추가로 DET 51→53
budget,정보기술부문 예산 집계 조회,비목별 편성요청액 및 편성액 집계,출력,EO,4,14,H,7,
budget,정보기술부문 예산 비교 조회,금감원 비목 매핑 및 전년대비 증감 산출,출력,EO,4,16,H,7,
budget,예산현황 정보화사업 집계,사업별 비목 예산 요청 및 조정액 집계,출력,EO,4,45,H,7,
budget,예산현황 전산업무비 집계,전산업무비 비목별 요청 및 조정액 집계,출력,EO,4,24,H,7,
budget,예산현황 경상사업 집계,경상사업 기계장치 및 무형자산 환산 집계,출력,EO,3,15,A,5,
budget,편성비목 목록 조회,편성비목별 편성률 및 요청금액 합계 산출,출력,EO,3,7,A,5,
budget,비목별 편성률 적용,비목 편성률 적용 및 편성금액 산출 저장,수정,EI,4,9,H,6,
budget,사업별 편성률 적용,사업별 자본 및 관리비 편성률 적용 저장,수정,EI,4,11,H,6,
budget,편성 결과 요약 조회,비목별 편성 결과 및 합계 산출,출력,EO,3,13,A,5,
budget,사업별 편성 결과 요약 조회,사업별 비목 교차 편성 결과 산출,출력,EO,4,15,H,7,
budget,편성요청서 반입 사전검증,부점 편성요청서 엑셀 배치를 서버가 파싱하고 조직·비목·직원 매칭 및 검증을 수행해 파일별 진단과 해소후보 및 예상 생성건수를 산출(원장 미기록) POST /api/admin/migration/requests/dry-run,출력,EO,6,31,H,7,파일별 결과와 요약에 진단 필드 각 1개 추가로 DET 29→31
