세부업무(도메인),단위프로세스명(기능),기능설명,FP유형,RET/FTR,DET,복잡도,FP점수,변경내용
budget,정보화사업(마스터+품목+관계),Bprojm+Bitemm+Bproja 및 변경로그,ILF,6,81,High,15,
budget,정보기술부문계획(마스터+관계),Bplanm+Bplana 및 변경로그,ILF,3,28,Average,10,
budget,전산업무비(마스터+단말),Bcostm+Btermm 및 변경로그,ILF,4,59,High,15,
budget,예산편성,Bbugtm 편성률 및 편성금액과 변경로그,ILF,2,16,Low,7,
budget,정보화사업 목록 조회,조건별 사업 목록 조회,EQ,2,83,High,6,ProjectDto.Response에 담당자 부점명 4종과 편성구분명 추가로 DET +5
budget,정보화사업 상세 조회,사업 상세 및 품목 목록 조회,EQ,2,94,High,6,ProjectDto.Response에 담당자 부점명 4종과 편성구분명 추가로 DET +5
budget,정보화사업 등록,사업 마스터+품목 신규 생성,EI,2,54,High,6,
budget,정보화사업 수정,사업 마스터+품목 변경,EI,2,53,High,6,
budget,정보화사업 삭제,사업 논리 삭제,EI,2,3,Low,3,
budget,정보화사업 다건 조회,관리번호 목록 기반 일괄 조회,EQ,2,78,High,6,ProjectDto.Response에 담당자 부점명 4종과 편성구분명 추가로 DET +5
budget,정보기술부문계획 목록 조회,계획 목록 조회,EQ,2,12,Average,4,
budget,정보기술부문계획 상세 조회,계획 상세 및 스냅샷 조회,EQ,2,16,Average,4,
budget,정보기술부문계획 등록,대상사업 스냅샷 생성 및 계획 저장,EI,3,19,High,6,
budget,정보기술부문계획 텍스트 수정,계획 비고 및 내용 항목 수정,EI,1,8,Low,3,
budget,정보기술부문계획 삭제,계획 및 관계 논리 삭제,EI,2,3,Low,3,
budget,전산업무비 목록 조회,조건별 전산업무비 목록 조회,EQ,2,55,High,6,CostDto.Response에 담당자 부점명(cgprPtCNm) 추가로 DET +1
budget,전산업무비 상세 조회,전산업무비 상세 및 단말 목록 조회,EQ,2,71,High,6,CostDto.Response에 담당자 부점명(cgprPtCNm) 추가로 DET +1
budget,전산업무비 등록,전산업무비+단말 신규 생성,EI,2,45,High,6,
budget,전산업무비 수정,전산업무비+단말 변경,EI,2,44,High,6,
budget,전산업무비 삭제,전산업무비 논리 삭제,EI,2,3,Low,3,
budget,전산업무비 다건 조회,관리번호 목록 기반 일괄 조회,EQ,2,51,High,6,CostDto.Response에 담당자 부점명(cgprPtCNm) 추가로 DET +1
budget,정보기술부문 예산 집계 조회,비목별 편성요청액 및 편성액 집계,EO,4,14,High,7,
budget,정보기술부문 예산 비교 조회,금감원 비목 매핑 및 전년대비 증감 산출,EO,4,16,High,7,
budget,예산현황 정보화사업 집계,사업별 비목 예산 요청 및 조정액 집계,EO,4,45,High,7,
