세부업무(도메인),단위프로세스명(기능),기능설명,FP유형,RET/FTR,DET,복잡도,FP점수
budget,정보화사업(마스터+품목),Bprojm+Bitemm,ILF,3,61,High,15
budget,전산관리비(마스터+단말기),Bcostm+Btermm,ILF,3,43,Average,10
budget,정보기술부문 계획,Bplanm,ILF,2,13,Low,7
budget,정보기술부문계획 관계,Bplana,ILF,1,3,Low,7
budget,예산 편성률,Bbugtm,ILF,2,10,Low,7
budget,가이드 문서,Bgdocm,ILF,2,4,Low,7
budget,요구사항 정의서+검토의견,Brdocm+Brivgm,ILF,2,16,Low,7
estimate,소요예산 산정(마스터+팀별),Bestim+Besttm,ILF,3,14,Low,7
deliberation,과업심의위원회,Bdelim,ILF,2,16,Low,7
contract,입찰/계약,Bcontm,ILF,2,14,Low,7
payment,대금지급(마스터+회차),Bpaymm+Bpaymt,ILF,3,17,Low,7
council,협의회 심의과제,Basctm,ILF,2,11,Low,7
council,평가위원,Bcmmtm,ILF,2,5,Low,7
council,평가의견,Bevalm,ILF,2,6,Low,7
council,성과지표,Bperfm,ILF,2,7,Low,7
council,사업개요,Bpovwm,ILF,2,13,Low,7
council,사전질의응답,Bpqnam,ILF,2,8,Low,7
council,회의질의응답,Bmqnam,ILF,2,8,Low,7
council,결과서,Brsltm,ILF,2,5,Low,7
council,일정,Bschdm,ILF,2,6,Low,7
approval,신청서(마스터+원본연결),Capplm+Cappla,ILF,3,14,Low,7
approval,결재선,Cdecim,ILF,1,9,Low,7
board,게시판 메타,Cblbmm,ILF,2,12,Low,7
board,게시물,Cblbcm,ILF,2,17,Low,7
board,댓글,Ccmmtm,ILF,2,9,Low,7
code,공통코드,Ccodem,ILF,2,14,Low,7
notification,알림,Cinfmm,ILF,1,12,Low,7
system,로그인이력,Clognh,ILF,1,8,Low,7
system,갱신토큰,Crtokm,ILF,1,5,Low,7
file,첨부파일,Cfilem,ILF,1,8,Low,7
menu,메뉴(기본+권한+라우트),Cmenum+Cmenua+Cmenud,ILF,4,18,Low,7
iam,역할 매핑,CroleI,ILF,1,2,Low,7
iam,사용자/직원 정보(SSO/eHR),CuserI,EIF,1,15,Low,5
iam,조직/부점 정보(SSO/eHR),CorgnI,EIF,1,6,Low,5
iam,자격등급(SSO/eHR),CauthI,EIF,1,5,Low,5
budget/project,사업 목록조회,미삭제 사업+최신신청서 목록,EQ,3,55,High,6
budget/project,사업 단건조회,상세+품목+신청서 조회,EQ,3,55,High,6
budget/project,사업 생성,신규 사업+품목 등록,EI,3,38,High,6
budget/project,사업 수정,사업 수정+품목 동기화,EI,3,37,High,6
